EmpID,Age,AgeGroup,Gender,Department,JobRole,Salary,Attrition,YearsAtCompany,Employee Satisfaction,PerformanceRating,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM297,18,18-25,Male,Research & Development,Laboratory Technician,17040,Yes,0,3,3,Travel_Rarely,230,3,3,Life Sciences,1,405,54,3,1,3,Single,1420,Upto 5k,25233,1,Y,No,13,3,80,0,0,2,3,0,0,0
RM302,18,18-25,Female,Sales,Sales Representative,14400,No,0,4,3,Travel_Rarely,812,10,3,Medical,1,411,69,2,1,3,Single,1200,Upto 5k,9724,1,Y,No,12,1,80,0,0,2,3,0,0,0
RM458,18,18-25,Male,Sales,Sales Representative,22536,Yes,0,2,3,Travel_Frequently,1306,5,3,Marketing,1,614,69,3,1,2,Single,1878,Upto 5k,8059,1,Y,Yes,14,4,80,0,0,3,3,0,0,0
RM728,18,18-25,Male,Research & Development,Research Scientist,12612,No,0,2,3,Non-Travel,287,5,2,Life Sciences,1,1012,73,3,1,4,Single,1051,Upto 5k,13493,1,Y,No,15,4,80,0,0,2,3,0,0,0
RM829,18,18-25,Male,Research & Development,Laboratory Technician,22848,Yes,0,3,3,Non-Travel,247,8,1,Medical,1,1156,80,3,1,3,Single,1904,Upto 5k,13556,1,Y,No,12,4,80,0,0,0,3,0,0,0
RM973,18,18-25,Female,Research & Development,Laboratory Technician,19332,No,0,4,3,Non-Travel,1124,1,3,Life Sciences,1,1368,97,3,1,4,Single,1611,Upto 5k,19305,1,Y,No,15,3,80,0,0,5,4,0,0,0
RM1154,18,18-25,Female,Sales,Sales Representative,18828,Yes,0,2,3,Travel_Frequently,544,3,2,Medical,1,1624,70,3,1,4,Single,1569,Upto 5k,18420,1,Y,Yes,12,3,80,0,0,2,4,0,0,0
RM1312,18,18-25,Female,Research & Development,Research Scientist,18168,No,0,2,3,Non-Travel,1431,14,3,Medical,1,1839,33,3,1,3,Single,1514,Upto 5k,8018,1,Y,No,16,3,80,0,0,4,1,0,0,0
RM128,19,18-25,Male,Sales,Sales Representative,20100,Yes,0,4,3,Travel_Rarely,528,22,1,Marketing,1,167,50,3,1,3,Single,1675,Upto 5k,26820,1,Y,Yes,19,4,80,0,0,2,2,0,0,0
RM150,19,18-25,Female,Research & Development,Laboratory Technician,17796,No,1,2,3,Travel_Rarely,1181,3,1,Medical,1,201,79,3,1,2,Single,1483,Upto 5k,16102,1,Y,No,14,4,80,0,1,3,3,0,0,0
